x,y,z
503.99867124288346,454.76907257303384,a
505.21323312062265,386.84103223155853,a
531.3870004188755,447.3933604085245,a
509.8718408836814,463.7690208725459,a
465.231617540701,442.8290424880499,a
466.62880241571105,365.77999011850477,a
476.0292981939344,456.816147328303,a
520.1288781885611,415.41370538317915,a
483.94341320488905,447.2395624249576,a
487.5998420182169,443.2017235661933,a
457.4257904274941,379.71467890713524,a
501.60915245806507,355.20842181798804,a
439.45146369996496,387.99070927742895,a
508.9158969558652,408.1339529777556,a
468.45619318985837,360.37074119062333,a
464.92327843127214,364.35594690399626,a
441.61271088361735,382.92317778920864,a
507.825121979237,342.3859223180714,a
409.67229347860683,321.78474989826543,a
502.0277051471712,340.2570823546632,a
481.91274084940085,313.8205234627549,a
511.4766779848464,320.58066693300975,a
459.46561354862513,288.59411618546415,a
470.76914887334493,320.80376127054217,a
468.37765980435563,291.1205469696621,a
437.6264764801851,282.6934202890464,a
406.65450966002527,308.76538392362033,a
446.61894907327303,328.93398030993853,a
398.58566331954796,314.4688262787247,a
405.79929699905443,254.1541430937785,a
438.32455410230455,271.3991714236255,a
417.5408085344779,295.95634102570193,a
388.53477730170886,284.1758224536302,a
361.78628619029905,273.8625921235837,a
404.74779894564057,262.57759106716617,a
377.2825017081437,334.0368999839766,a
395.9258921932416,306.8948945902669,a
427.35850334359003,308.48481861544064,a
375.7590781347016,316.22700132717137,a
404.54961614496597,293.666676729972,a
383.24256704858027,274.8586460860312,a
390.1161984926123,310.6471752968488,a
368.34977539334955,276.48149193700374,a
376.5046608021661,281.4036965071064,a
378.79305308876366,262.78339608719256,a
410.227847371506,294.46972327763183,a
350.9372245711272,220.9615145499725,a
362.66765584615206,240.7257230298676,a
333.0350674434323,232.77096002184686,a
367.70081021540346,240.9394925785204,a
339.5097567851,226.2131198692286,a
279.78346578495956,284.4170295533448,a
307.1151545273284,283.7568748507897,a
336.4461998992828,234.7504006475683,a
270.42133241616636,238.30199488224014,a
288.52043261040177,232.98682970706847,a
262.1166874883605,201.97509444116952,a
245.6463027967434,191.24011889945547,a
271.5224898658712,201.6808184004342,a
300.5674933112234,231.31083830194848,a
255.4620773865695,200.80876831517588,a
246.40723955053687,197.94067293009397,a
243.13582641467127,196.81379017014797,a
275.3634995784615,206.74016111974896,a
273.4618693666809,181.19818315618613,a
253.88046612443242,220.8814935349901,a
199.6174772806434,180.72656588251704,a
213.9083981055644,228.46135974208556,a
264.92988692402116,219.52148675822463,a
238.36134346013927,232.0110566315796,a
217.36017727746224,208.14057569122502,a
240.49190549987756,214.02064294734743,a
271.5059704459993,290.6001038772324,a
208.573396187842,223.33990508045957,a
215.29109390630583,225.34899465074545,a
292.2735873949668,233.14374520431733,a
237.5463310162655,233.0309772237723,a
233.02779091690945,189.04601638822612,a
217.52007522258842,223.98414724984895,a
212.4582523467741,218.11394394736857,a
219.56402556620108,201.6433984682297,a
268.2870695464291,233.7660711140394,a
245.35824272519724,179.26465513314696,a
195.5220574740324,224.80371741300132,a
189.83816188187942,152.6430899096245,a
164.77453497880919,232.10683799977915,a
223.2623611368301,178.99331007109663,a
167.560013720085,201.60433848210994,a
189.47678648340633,197.88366070191034,a
186.14215311447603,233.75399211530566,a
132.2744506682904,193.71860309503313,a
144.21153589510442,154.27546126795517,a
179.0303727616576,123.64239830765007,a
171.59349642361124,153.3886006864941,a
180.3399208017337,165.85517513423576,a
177.57299086509533,189.54870612621704,a
196.64300785611087,162.89700205162444,a
145.1419583240037,177.1297129008235,a
114.44161672489463,176.31521689851144,a
174.64283055595442,142.87002790718037,a
196.8729349246811,211.9028638414179,a
135.61457596297578,166.94261768885195,a
140.3274532541366,176.38860865901103,a
185.04982020578615,161.66620334725297,a
186.89423618126338,188.30693427074078,a
158.93645091838138,200.85373191850954,a
164.53490134955936,182.19796201416136,a
152.4913865375814,140.73260791580316,a
147.794719697423,143.6982895193828,a
164.57018653730586,165.82877529681798,a
131.02684319788636,219.1216654083844,a
153.397768755956,198.77059562267237,a
184.73809460486783,195.39945240127105,a
125.59165430264913,151.72467846632986,a
140.7917385329051,146.95318613397183,a
112.83407615152663,157.60655269929464,a
121.99197767817915,130.54924934967931,a
124.01437388737598,170.56141722011887,a
150.82966135677412,192.2044553169079,a
151.75565386545523,167.77137935642355,a
142.4201620819132,153.83336620343158,a
164.08123657900532,130.53110047121174,a
131.6827026145124,116.7060343728649,a
166.3423648201063,144.56292136114035,a
133.71207777098317,121.3078276233129,a
105.23151778339802,160.81607768353348,a
133.65861837033333,92.30811254966846,a
164.91850772373778,136.48053153710487,a
168.49488204646917,174.48862218892253,a
201.61605945833577,174.32378625853698,a
152.52649786865814,150.80461318734666,a
169.9659249804045,128.89691950977544,a
111.37412912190442,125.89717579285377,a
175.06432133578667,145.64297683379925,a
134.65851190804324,189.69801167005045,a
178.5046854638618,176.08534330985304,a
188.20390993260918,153.2418293356555,a
257.5799670418452,149.748038748366,a
231.37110055167332,110.03137625430753,a
266.8755179922756,68.2990102128689,a
237.44887055478415,115.73506803191913,a
251.32150150455053,91.27113129706044,a
233.2899012243231,104.56172038480565,a
250.393973893456,107.91673540270057,a
252.27923764710127,104.12518900896981,a
243.5226877135392,146.11323876864253,a
313.9288032897182,128.93240871488962,a
279.40388051875743,155.31188478360428,a
334.05644604875664,162.05970216856673,a
319.9838973062349,95.5408726394507,a
270.28598026146597,134.04263540173702,a
303.5159045108924,136.32193416422984,a
328.42084502147173,93.16129807159064,a
349.5540631880188,103.4589586432424,a
333.3644222118646,124.6953561906156,a
336.21632215977155,130.73221892614652,a
397.17392109451487,113.39133326277289,a
371.7837708191489,159.98600759142937,a
340.94791042442216,112.72739119250662,a
350.0379813590722,116.57291022214787,a
439.0377211651974,124.32190112030531,a
389.18655302132936,74.52074438749992,a
375.95585656234584,160.46845423248715,a
420.4599265753735,155.64709169493472,a
386.98365572069537,139.90868201674766,a
